gota_n,caudal_ml_s,intervalo_seg
10,8.500,18.6722
15,8.500,2.4192
20,8.500,0.1000
25,8.500,18.6750
30,8.500,2.4336
35,8.500,0.1000
40,8.500,18.6602
45,8.500,2.4325
50,8.500,0.1000
55,8.500,18.7495
60,8.500,2.4378
65,8.500,0.1000
70,8.500,18.6834
75,8.500,2.4423
80,8.500,0.1000
